i_episode: 264,	 reward_accu: 27, 	 action_length: 164,	 running times: 164
i_episode: 265,	 reward_accu: 27, 	 action_length: 160,	 running times: 160
i_episode: 266,	 reward_accu: 27, 	 action_length: 164,	 running times: 164
i_episode: 267,	 reward_accu: 27, 	 action_length: 156,	 running times: 156
i_episode: 268,	 reward_accu: 27, 	 action_length: 172,	 running times: 172
i_episode: 269,	 reward_accu: 27, 	 action_length: 152,	 running times: 152
i_episode: 270,	 reward_accu: 27, 	 action_length: 168,	 running times: 168
i_episode: 271,	 reward_accu: 27, 	 action_length: 166,	 running times: 166
i_episode: 272,	 reward_accu: 27, 	 action_length: 156,	 running times: 156
i_episode: 273,	 reward_accu: 27, 	 action_length: 164,	 running times: 164
i_episode: 274,	 reward_accu: 27, 	 action_length: 154,	 running times: 154
i_episode: 275,	 reward_accu: 27, 	 action_length: 152,	 running times: 152
i_episode: 276,	 reward_accu: 27, 	 action_length: 144,	 running times: 144
i_episode: 277,	 reward_accu: 27, 	 action_length: 166,	 running times: 166
i_episode: 278,	 reward_accu: 27, 	 action_length: 156,	 running times: 156
i_episode: 279,	 reward_accu: 27, 	 action_length: 154,	 running times: 154
i_episode: 280,	 reward_accu: 27, 	 action_length: 166,	 running times: 166
i_episode: 281,	 reward_accu: 27, 	 action_length: 148,	 running times: 148
i_episode: 282,	 reward_accu: 27, 	 action_length: 164,	 running times: 164
i_episode: 283,	 reward_accu: 27, 	 action_length: 770,	 running times: 770
i_episode: 284,	 reward_accu: 27, 	 action_length: 154,	 running times: 154
i_episode: 285,	 reward_accu: 27, 	 action_length: 160,	 running times: 160
i_episode: 286,	 reward_accu: 27, 	 action_length: 150,	 running times: 150
i_episode: 287,	 reward_accu: 27, 	 action_length: 154,	 running times: 154
i_episode: 288,	 reward_accu: 27, 	 action_length: 168,	 running times: 168
i_episode: 289,	 reward_accu: 27, 	 action_length: 156,	 running times: 156
i_episode: 290,	 reward_accu: 27, 	 action_length: 148,	 running times: 148
i_episode: 291,	 reward_accu: 27, 	 action_length: 174,	 running times: 174
i_episode: 292,	 reward_accu: 27, 	 action_length: 152,	 running times: 152
i_episode: 293,	 reward_accu: 27, 	 action_length: 154,	 running times: 154
i_episode: 294,	 reward_accu: 27, 	 action_length: 170,	 running times: 170
i_episode: 295,	 reward_accu: 27, 	 action_length: 164,	 running times: 164
i_episode: 296,	 reward_accu: 27, 	 action_length: 156,	 running times: 156
i_episode: 297,	 reward_accu: 27, 	 action_length: 162,	 running times: 162
i_episode: 298,	 reward_accu: 27, 	 action_length: 170,	 running times: 170
[-1, -1, -1, -1, -1, -1, 0, -1, -1, 0, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, 0, -1, -1, 0, 0, 0, -1, 0, -1, 0, -1, -1, 0, 0, 0, -1, 0, 0, -1, -1, -1, 0, -1, 0, 0, 1, 4, 2, 0, -1, 0, 0, 1, 1, 0, 1, 3, 1, 1, 0, 6, 0, 1, 0, 0, 1, 3, 0, 7, 7, 1, 4, 1, 0, 0, 0, 0, 10, 9, 1, 1, 3, 0, 10, 19, 22, 0, 3, 6, 7, 7, 1, 6, 1, 0, 1, 9, 27, 6, 13, 4, 0, 4, 16, -1, -1, 1, 19, 6, 6, 9, 12, 27, -1, 1, 13, 7, 1, 0, 12, 21, 22, 0, 15, 3, 21, 7, 27, 27, 9, 0, 7, -1, 27, 27, 27, 10, 19, 18, 3, 27, 1, 19, 0, 27, 19, 7, 27, 27, 10, 27, 27, 27, 15, 12, 27, 22, 25, 10, 6, 10, 1, 9, 9, 27, 16, 9, 12, 19, 27, 27, 13, 0, 10, 27, 19, 27, 4, 27, 27, 27, 27, 27, 27, 27, 27, 27, 15, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27]
